s 是
sfho 伤害
sfho 伤寒
sfhp 俗话
sfhr 似乎
sfhs 俗话说
sfht 倏忽
sfhx 舍
sfhy 售货员
sfhy 伤痕
sfhz 仨
sfi 伞
sfig 僧
sfij 伞
sfj 什
sfj 隼
sfj. 使劲
sfja 耸
sfjb 使节
sfjf 售价
sfjg 司法机关
sfjj 删繁就简
sfjm 僳
sfjn 使尽
sfjn 使
sfjp 耸肩
sfjt 伤及
sfjy 师范教育
sfjz 仕
sfjz 什锦
sfkh 伸开
sfkl 伤口
sfkn 十分困难
sfko 食客
sfkx 煞费苦心
sfkz 尚可
sfl 售
sfld 赏脸
sflf 僧侣
sfli 食粮
sflq 舍利
sfls 食量
sflx 售楼
sfly 耸立
sfmf 使命
sfmg 使命感
sfmq 十分明确
sfmr 什么人
sfms 什么是
sfmt 什么
sfmy 什么样
sfn 伺
sfn, 侍女
sfn, 仕女
sfn. 尚能
sfnf 使你
sfnj 伤脑筋
sfnl 伺
sfnn 僧尼
sfp 食
sfpc 售票处
sfpc 食品厂
sfpd 食品店
sfph 食
sfpj 售票
sfpl 食品
sfpo 怂
sfpp 食谱
sfpy 售票员
sfq 伤
sfq, 伤
sfq; 毹
sfqg 尚且
sfqh 适逢其会
sfqj 使其
sfqq 俗气
sfqv 舍去
sfqy 舍弃
sfqz 是非曲直
sfr 俗
sfrf 俗人
sfrf 僧人
sfrf 使人
sfrf 伤人
sfrf 俗
sfrg 食肉
sfrr 伸入
sfrt 使然
sfrx 世风日下
sfs/ 伸缩
sfsf 食宿费
sfsg 似水
sfsj 傻事
sfsn 尚属
sfso 食宿
sfsp 赏识
sfsq 伸手
sfsq 舒适
sfsu 伤势
sfsw 舍身
sfsz 舒爽
sft 歙
sftf 食堂
sftf 仕途
sftf 歙
sftg 使团
sfti 食糖
sftk 俗套
sftm 使他们
sfto 使它
sftq 伤透
sftv 舒坦
sfty 伤痛
sfv 侍
sfvj 侍
sfw 傻
sfw, 傻
sfwc 三番五次
sfwh 尚未
sfwh 尚武
sfwh 尚无
sfwl 四分五裂
sfwm 侍卫
sfwq 食物
sfwy 伤亡
sfx/ 畲乡
sfxe 尚须
sfxg 歙县
sfxh 伞形
sfxl 尚需
sfxo 食性
sfxp 伤心
sfxq 傻笑
sfxw 伸向
sfxy 师范学院
sfy 裳
sfy. 怂恿
sfyc 食油
sfyd 赏月
sfyf 使用费
sfyg 傻眼
sfyj 食用菌
sfyk ^舍友
sfyk 尚有
sfyl 伤员
sfyl 使用率
sfyp 伸冤
sfyp 俗语
sfyq 使用权
sfyr 食欲
sfyt 使用
sfyt 食用
sfyt 裳
sfyv 食盐
sfyx 师范院校
sfyy 食言
sfyz 使用者
sfzi 歙州
sfzj 使者
sfzj 伤者
sfzj 伸直
sfzj 侍者
sfzm 傻子
sfzn 伸展
sfzn 伸张
sfzn 舒展
sfzp 使之
sfzr 身负重任
sfzs 十分重视
sfzu 食指
sfzy 畲族
sfzy 十分重要
sg 水
sg. 睃
sg.r 睃
sgag 水岸
sgav 山坳
sgaw 申奥
sgb, 申办
sgba 深感不安
sgbb 申报表
sgbc 水波
sgbg 山崩
sgbh 水表
sgbj 时隔不久
sgbk 水泵
sgbn 四壁
sgbq 水笔
sgbu 申报
sgbv 水坝
sgbw 水兵
sgbx 四边形
sgby 申辩
sgbz 睡不着
sgcb 水草
sgcc 水池
sgcc 思潮
sgce 申斥
sgch 水彩画
sgcj 水产局
sgck 水厂
sgcl 水处理
sgco 思忖
sgcp 水产品
sgcq 史称
sgcr 水彩
sgcs 四川省
sgct 四处
sgct 史册
sgcv 山城
sgcw 四川
sgcw 山川
sgcx 山村
sgcy 水产
sgcz 手工操作
sgd 蛳
sgd; 山东
sgdb 三个代表
sgdc 山洞
sgdc 山地车
sgdd 蛇胆
sgde 睡得
sgdf 水电费
sgdf 睡袋
sgdg 水电
sgdi 水道
sgdj 山顶
sgdj 蛳
sgdk 四大
sgdq 水稻
sgds 山东省
sgdv 山地
sgdw 施工单位
sgdy 水底
sgdz 水电站
sgf 赊
sgfc 升官发财
sgfg 山峰
sgfh 赊
sgfr 水分
sgfs 损公肥私
sgft 山风
sgfx 四方形
sgfy 四方
sgfy 睢
sgfz 四分之
sggc 山沟
sggd 水果店
sggf 四个
sggg 水果
sggj 水工
sggk 四顾
sggq 水管
sggr 山谷
sggv 水垢
sggx 山根
sggz 山歌
sgh 申
sgh, 睡好
sghb 水花
sghc 四海
sghc 山河
sghc 山洪
sghe 山后
sghf 水货
sghg 山海关
sghi 水火
sghj 水壶
sghl 四环路
sgho 四害
sgho 水害
sghp 史话
sghs 四环素
sghx 申
sghy 四合院
sghz 水浒传
sgi 蟮
sgih 蟮
sgj 署
sgj. 山鸡
sgj. 赎
sgj/ 四级
sgjb 水警
sgjc 山涧
sgjc 硕果仅存
sgjd 山脚
sgjh 水井
sgji 水煎
sgjk 署
sgjn 四届
sgjo 睡觉
sgjp 史记
sgjq 四季
sgjq 时过境迁
sgjq 史籍
sgjs 水晶
sgjt 水饺
sgjt 四角
sgju 瞬间
sgjx 山脚下
sgjy 史迹
sgjy 山脊
sgk 史
sgkj 思考
sgkj 髓
sgkl 水口
sgkt 思考题
sgkv 史
sgky 水库
sgl, 水力
sgla 思虑
sglb 水利部
sglc 水流
sgld 手工劳动
sglf 四邻
sglg 山里
sglg 山岭
sglg 水里
sgli 史料
sglj 水利局
sgll 思路
sgll 水路
sgll 山路
sgll 硕果累累
sglm 水陆
sgln 水灵
sglq 水利
sgls 水量
sglt 水龙头
sglt 水利厅
sglx 山林
sglx 山麓
sgly 山峦
sgm/ 水母
sgmb 赎买
sgmd 山脉
sgmg 睡眠
sgmh 岁末
sgmk 水面
sgmk 四面
sgml 三顾茅庐
sgmm 舒肝明目
sgmn 山民
sgmp 思谋
sgms 申明
sgmt 署名
sgmu 山门
sgmx 睡梦
sgn. 水能
sgnc 水泥
sgnf 思念
sgnj 山南
sgnq 水牛
sgnq 四年
sgny 水凝
sgo 蛇
sgo, 蛇
sgp 思
sgpc 水泡
sgpl 水平
sgpm 水平面
sgpo 思
sgpr 水盆
sgps 水平上
sgpv 山坡
sgpx 水平线
sgq 睡
sgqa 睡
sgqb 申请表
sgqc 水渠
sgqd 山雀
sgqf 水禽
sgqh 水球
sgqi 睡前
sgqj 事关全局
sgqo 思情
sgqp 申请
sgqq 水气
sgqr 申请人
sgqs 申请书
sgqs 嵊
sgqv 四起
sgqw 山丘
sgqx 双管齐下
sgqz 山区
sgqz 四强
sgr 瞬
sgr 水
sgrb 四人帮
sgrf 四人
sgri 瞬
sgrs 四日
sgry 水溶液
sgs/ 史书
sgsa 山上
sgsg 山水
sgsg 嵩山
sgsi 岁数
sgsj 思索
sgsj 四十
sgso 史实
sgsp 申诉
sgsp 史诗
sgsq 水手
sgss 瞬时
sgst 山色
sgsu 山势
sgsu 水势
sgsw 四射
sgsy 睡熟
sgt 四
sgt 兕
sgt. 四通
sgt. 骰
sgtf 水体
sgtg 蜀
sgth 四天
sgtk 赡
sgto 山头
sgtt 四条
sgtv 岁
sgtv 水土
sgtv 水塘
sgtz 四
sgv 墅
sgvj 峙
sgvv 眭
sgw 瞍
sgw/ 思维
sgw; 螋
sgw; 瞍
sgwc 水温
sgwc 三纲五常
sgwf 水位
sgwg 水网
sgwh 尸骨未寒
sgwj 四五
sgwl 水雾
sgwr 水污染
sgwt 山外
sgww 水汪汪
sgwy 水文
sgx 山
sgx/ 思绪
sgxc 水洗
sgxf 水仙
sgxg 蛇蝎
sgxh 水仙花
sgxj 山下
sgxj 山西
sgxj 思想家
sgxj 睡醒
sgxl 申雪
